first_stage_vectors,reranker,recall@1,recall@3,recall@5,recall@10,primary_hit@1,mrr@10,ndcg@5,ndcg@10,precision@5,context_recall,context_primary_hit
tfidf vectors,none,0.4352941176470589,0.5941176470588236,0.6337254901960785,0.7290476190476189,0.6352941176470588,0.7437861811391223,0.6600968739507811,0.6932578841042246,0.21411764705882347,0.6337254901960785,0.7529411764705882
tfidf vectors,cross-encoder,0.5352941176470589,0.7214005602240896,0.7776750700280113,0.8017086834733894,0.8,0.8666666666666666,0.8082884650139903,0.8147760948735362,0.2705882352941177,0.7776750700280113,0.9058823529411765
dense bi-encoder,none,0.557563025210084,0.8193277310924371,0.8900280112044819,0.9304201680672269,0.8,0.9223529411764707,0.8753051856762524,0.8884552478935946,0.308235294117647,0.8900280112044819,0.9882352941176471
dense bi-encoder,cross-encoder,0.5676470588235295,0.8066946778711485,0.8800280112044818,0.9262184873949579,0.8470588235294118,0.9242156862745099,0.8791800093521238,0.8929626488804144,0.3105882352941176,0.8800280112044818,0.9764705882352941
