comparison,metric,mean_a,mean_b,difference,ci_low,ci_high,significant
"cross-encoder gain, weak first stage (tfidf)",recall@1,0.5352941176470589,0.4352941176470589,0.1,0.047058823529411764,0.16470588235294117,True
"cross-encoder gain, weak first stage (tfidf)",primary_hit@1,0.8,0.6352941176470588,0.16470588235294117,0.09411764705882353,0.24705882352941178,True
"cross-encoder gain, weak first stage (tfidf)",ndcg@5,0.8082884650139903,0.6600968739507811,0.14819159106320912,0.09609220865901724,0.20528256100614004,True
"cross-encoder gain, weak first stage (tfidf)",context_recall,0.7776750700280113,0.6337254901960785,0.1439495798319328,0.08845518207282914,0.20515476190476187,True
"cross-encoder gain, strong first stage (dense)",recall@1,0.5676470588235295,0.557563025210084,0.010084033613445379,-0.04285714285714286,0.06302521008403363,False
"cross-encoder gain, strong first stage (dense)",primary_hit@1,0.8470588235294118,0.8,0.047058823529411764,-0.047058823529411764,0.1411764705882353,False
"cross-encoder gain, strong first stage (dense)",ndcg@5,0.8791800093521238,0.8753051856762524,0.0038748236758714594,-0.0349972834929209,0.04048230638435139,False
"cross-encoder gain, strong first stage (dense)",context_recall,0.8800280112044818,0.8900280112044819,-0.01,-0.05588235294117647,0.031176470588235288,False
