architecture,recall@1,recall@3,recall@5,recall@10,primary_hit@1,mrr@10,ndcg@5,ndcg@10,precision@5,context_recall,context_primary_hit
A. Lexical retrieval (BM25 only),0.4176470588235295,0.5715686274509805,0.6183473389355741,0.6894397759103641,0.611764705882353,0.709327731092437,0.6465809664588846,0.6679468171678391,0.20705882352941168,0.6183473389355741,0.7764705882352941
B. Dense retrieval (no reranker),0.557563025210084,0.8193277310924371,0.8900280112044819,0.9304201680672269,0.8,0.9223529411764707,0.8753051856762524,0.8884552478935946,0.308235294117647,0.8900280112044819,0.9882352941176471
C. Dense + cross-encoder reranker,0.5676470588235295,0.8066946778711485,0.8800280112044818,0.9262184873949579,0.8470588235294118,0.9242156862745099,0.8791800093521238,0.8929626488804144,0.3105882352941176,0.8800280112044818,0.9764705882352941
D. Dense + lexical second-stage rerank (baseline),0.4441176470588236,0.6138375350140056,0.6677591036414565,0.8127731092436975,0.6470588235294118,0.767530345471522,0.6957111692110816,0.7392389296433612,0.22588235294117642,0.6677591036414565,0.8470588235294118
