architecture,retrieve_mean_ms,rerank_mean_ms,total_mean_ms,total_p50_ms,total_p95_ms,n_samples
A. Lexical retrieval (BM25 only),0.364775014310783,0.0023843464898128134,0.36715936080059586,0.31875004060566425,0.6087920046411455,255
B. Dense retrieval (no reranker),23.606600310863453,0.005864679092066545,23.61246498995552,20.871833025012165,38.65831241128028,255
C. Dense + cross-encoder reranker,18.405271430417677,51.176838085110134,69.5821095155278,65.66079205367714,104.90730807068755,255
D. Dense + lexical second-stage rerank (baseline),18.86536356075393,0.15250424050963393,19.017867801263563,17.886833054944873,26.47772848722523,255
